year,births,area
1995,131009.00,city
2000,125563.00,city
2001,124023.00,city
2002,122937.00,city
2003,124345.00,city
2004,124099.00,city
2005,122725.00,city
2006,125506.00,city
2007,128961.00,city
2008,127680.00,city
2009,126774.00,city
2010,124791.00,city
2011,123029.00,city
2012,123231.00,city
2013,120457.00,city
2014,122084.00,city
2015,121673.00,city
2016,120367.00,city
2017,117013.00,city
2018,114296.00,city
2019,110442.00,city
2020,100022.00,city
2016,234283.00,state
2017,229737.00,state
2018,226238.00,state
2019,221539.00,state
2020,209338.00,state
2021,210742.00,state
2022,207774.00,state
2016,113916.00,rural
2017,112724.00,rural
2018,111942.00,rural
2019,111097.00,rural
2020,109316.00,rural
